piano2;piano2;piano2;piano2;;
D4;F4;A4;C5;0x00;amber
E4;G4;B4;;0x01;yellow
F4;A4;C5;E5;0x02;amber
E4;G4;B4;;0x03;yellow
D4;F4;A4;C5;0x04;amber
E4;G4;B4;;0x05;yellow
F4;A4;C5;E5;0x06;amber
E4;G4;B4;;0x07;yellow
G4;Bb4;D5;F5;0x20;red
G4;Bb4;D5;F5;0x21;red
G4;Bb4;D5;F5;0x22;red
G4;Bb4;D5;F5;0x23;red
D4;F4;A4;C5;0x24;amber
E4;G4;B4;;0x25;yellow
F4;A4;C5;E5;0x26;amber
E4;G4;B4;;0x27;yellow
D4;F4;A4;C5;0x50;amber
G4;Bb4;D5;F5;0x51;yellow
D4;F4;A4;C5;0x52;amber
G4;Bb4;D5;F5;0x53;yellow
D4;F4;A4;C5;0x54;amber
G4;Bb4;D5;F5;0x55;yellow
Bb4;D4;F4;;0x56;red
C4;E4;G4;;0x57;red
Bb4;D4;F4;;0x30;amber
C4;E4;G4;;0x31;yellow
D4;F4;A4;C5;0x32;red
D4;F4;A4;C5;0x33;red
Bb4;D4;F4;;0x34;amber
C4;E4;G4;;0x35;yellow
D4;F4;A4;;0x36;red
D4;F4;A4;;0x37;red
Bb4;D4;F4;;0x30;amber
C4;E4;G4;;0x31;yellow
D4;F4;A4;C5;0x32;red
D4;F4;A4;C5;0x33;red
Bb4;D4;F4;;0x34;amber
C4;E4;G4;;0x35;yellow
D4;F4;A4;;0x36;red
D4;F4;A4;;0x37;red
Bb4;D4;F4;;0x30;amber
C4;E4;G4;;0x31;yellow
D4;F4;A4;C5;0x32;red
D4;F4;A4;C5;0x33;red
Bb4;D4;F4;;0x34;amber
C4;E4;G4;;0x35;yellow
D4;F4;A4;;0x36;red
D4;F4;A4;;0x37;red
Bb4;D4;F4;;0x30;amber
C4;E4;G4;;0x31;yellow
D4;F4;A4;C5;0x32;red
D4;F4;A4;C5;0x33;red
Bb4;D4;F4;;0x34;amber
C4;E4;G4;;0x35;yellow
D4;F4;A4;;0x36;red
D4;F4;A4;;0x37;red
